DOI,Title,Conference,PaperType,Year,Authors,AuthorAffiliation,InternalReferences,Keywords
10.1109/TVCG.2018.2864838,VIS4ML: An Ontology for Visual Analytics Assisted Machine Learning,VAST,J,2018,Dominik Sacha;Matthias Kraus;Daniel A. Keim;Min Chen 0001,University of Konstanz;University of Konstanz;University of Konstanz;University of Oxford,10.1109/TVCG.2017.2744683;10.1109/VISUAL.2004.10;10.1109/VAST.2008.4677361;10.1109/TVCG.2017.2744718;10.1109/TVCG.2017.2745178;10.1109/TVCG.2017.2745085;10.1109/TVCG.2017.2744938;10.1109/TVCG.2016.2598831;10.1109/TVCG.2017.2744378;10.1109/TVCG.2017.2745158;10.1109/TVCG.2017.2744358;10.1109/TVCG.2016.2598838;10.1109/TVCG.2016.2598828;10.1109/TVCG.2017.2744805;10.1109/TVCG.2014.2346481;10.1109/TVCG.2016.2598495;10.1109/TVCG.2017.2744158;10.1109/TVCG.2016.2598829;10.1109/VISUAL.2005.1532781;10.1109/TVCG.2016.2598830;10.1109/TVCG.2017.2744878,visual analytics;visualization;machine learning;human-computer interaction;ontology;vis4ml
10.1109/VISUAL.1997.663872,Wavelet-based multiresolutional representation of computational field simulation datasets,Vis,C,1997,Zhifan Zhu;Raghu Machiraju;Bryan Fry;Robert J. Moorhead II,"NSF Eng. Res. Center for Comput. Field Simulation, Mississippi State Univ., MS, USA",10.1109/VISUAL.1994.346332;10.1109/VISUAL.1995.480810;10.1109/VISUAL.1996.568138;10.1109/VISUAL.1995.480812,wavelet transform;structure detection;human visual system;progressive transmission
10.1109/INFVIS.2000.885087,Getting portals to behave,InfoVis,C,2000,Christopher Olston;Allison Woodruff,"Stanford Univ., CA, USA",10.1109/INFVIS.1995.528688,portals;multiple views;data visualization
10.1109/VISUAL.2000.885735,Visualization of time dependent confocal microscopy data,Vis,C,2000,Wim C. de Leeuw;Robert van Liere;Pernette J. Verschure;Roel van Driel;Astrid E. Visser;Erik M. M. Manders,"Centre for Math. & Comput. Sci., Amsterdam, Netherlands",10.1109/VISUAL.1990.146378;10.1109/VISUAL.1996.568136,biomedical imaging;volume visualization;virtual reality
10.1109/VISUAL.2001.964501,Attribute preserving dataset simplification,Vis,C,2001,Jason D. Walter;Christopher G. Healey,"Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA;Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA",10.1109/VISUAL.1998.745296;10.1109/VISUAL.1998.745312;10.1109/VISUAL.1999.809869,dataset management;mesh simplification;principal component analysis;scientific visualization
10.1109/VISUAL.2002.1183812,Christmas tree case study: computed tomography as a tool for mastering complex real world objects with applications in computer graphics,Vis,C,2002,Armin Kanitsar;Thomas Theußl;Lukas Mroz;Milos Srámek;Anna Vilanova;Balázs Csébfalvi;Jirí Hladuvka;Dominik Fleischmann;Michael Knapp;Rainer Wegenkittl;Petr Felkel;Stefan Guthe;Werner Purgathofer;M. Eduard Gröller,"Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Austria;Inst. of Comput. Graphics & Algorithms, Vienna Univ. of Technol., Austria",10.1109/VISUAL.2001.964522;10.1109/VISUAL.2001.964555;10.1109/VISUAL.2001.964531;10.1109/VISUAL.1994.346320,modeling;computed tomography;volume visualization
10.1109/INFVIS.2003.1249019,Constant density displays using diversity sampling,InfoVis,C,2003,Mark Derthick;Michael G. Christel;Alexander G. Hauptmann;Howard D. Wactlar,"Human-Comput. Interaction Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA;Human-Comput. Interaction Inst., Carnegie Mellon Univ., Pittsburgh, PA, USA",10.1109/INFVIS.1998.729570,information visualization;collage
10.1109/INFVIS.2003.1249026,Visualization of large-scale customer satisfaction surveys using a parallel coordinate tree,InfoVis,C,2003,Dominique Brodbeck;Luc Girardin,"Macrofocus GmbH, Zurich, Switzerland;Macrofocus GmbH, Zurich, Switzerland",10.1109/VISUAL.1991.175815;10.1109/VISUAL.1990.146402;10.1109/INFVIS.2001.963274;10.1109/INFVIS.2001.963285,parallel coordinates;focus+context;hierarchical data;satisfaction survey
10.1109/VISUAL.2003.1250403,A frequency-sensitive point hierarchy for images and volumes,Vis,C,2003,Tomihisa Welsh;Klaus Mueller,"Center for Visual Comput., Comput. Sci., Stony Brook Univ., USA;Center for Visual Comput., Comput. Sci., Stony Brook Univ., USA",10.1109/VISUAL.2002.1183770;10.1109/VISUAL.2001.964498;10.1109/VISUAL.2002.1183776;10.1109/VISUAL.2001.964492;10.1109/VISUAL.2001.964491;10.1109/VISUAL.2002.1183757,volume rendering;point-based rendering;splatting
10.1109/VISUAL.2004.122,Visualizing gyrokinetic simulations,Vis,C,2004,David Crawford;Kwan-Liu Ma;Min-Yu Huang;Scott Klasky;Stéphane Ethier,"Dept. of Comput. Sci., California Univ., Davis, CA, USA;Dept. of Comput. Sci., California Univ., Davis, CA, USA;Dept. of Comput. Sci., California Univ., Davis, CA, USA",10.1109/VISUAL.2001.964520;10.1109/VISUAL.2003.1250402;10.1109/VISUAL.2003.1250385,graphics hardware;non-rectilinear mesh;plasma physics;scientific visualization;texture methods;volume visualization
10.1109/VISUAL.2004.3,A graphics hardware-based vortex detection and visualization system,Vis,C,2004,Simon Stegmaier;Thomas Ertl,"Inst. of Visualization & Interactive Syst., Stuttgart Univ., Germany;Inst. of Visualization & Interactive Syst., Stuttgart Univ., Germany",10.1109/VISUAL.2003.1250361;10.1109/VISUAL.1998.745288;10.1109/VISUAL.2003.1250384;10.1109/VISUAL.1999.809934;10.1109/VISUAL.1998.745296,features in volume data sets;flow visualization;hardware acceleration;3d vector field visualization
10.1109/INFVIS.2005.1532140,Multivariate glyphs for multi-object clusters,InfoVis,C,2005,Eleanor Boyle Chlan;Penny Rheingans,"Whiting Sch. of Eng., Johns Hopkins Univ., Baltiomore, MD, USA",10.1109/INFVIS.1995.528691;10.1109/VISUAL.1996.568111;10.1109/VISUAL.1999.809866;10.1109/VISUAL.2000.885677,information visualization;multivariate visualization;distribution;aggregated data
10.1109/VISUAL.2005.1532774,Visualizing tensor fields in geomechanics,Vis,C,2005,Alisa Neeman;Boris Jeremic;Alex T. Pang,"Comput. Sci. Dept., UCSC, CA, USA",10.1109/VISUAL.1998.745294;10.1109/VISUAL.1999.809886,symmetric tensors;stress tensor;seismic moment tensor;anisotropic;deviatoric;double couple;compensated linear vector dipole
10.1109/VISUAL.2005.1532828,Differential protein expression analysis via liquid-chromatography/mass-spectrometry data visualization,Vis,C,2005,Lars Linsen;Julia Löcherbach;Matthias Berth;Jörg Bernhardt,"Dept. of Math. & Comput. Sci., Ernst-Moritz-Arndt-Univ., Greifswald, Germany;Dept. of Math. & Comput. Sci., Ernst-Moritz-Arndt-Univ., Greifswald, Germany",10.1109/VISUAL.1997.663907,interactive visual exploration;hierarchical data representation;visualization in bioinformatics;proteomics
10.1109/VAST.2006.261435,Interactive Wormhole Detection in Large Scale Wireless Networks,VAST,C,2006,Weichao Wang;Aidong Lu,"University of Kansas, e-mail: weichaow@eecs.ku.edu;University of North Carolina at Charlotte, e-mail: alul1@uncc.edu",10.1109/VISUAL.1996.567787;10.1109/VISUAL.2005.1532819;10.1109/INFVIS.2002.1173161;10.1109/INFVIS.2004.60,interactive detection;wormhole attacks;visualization on network security;wireless networks;topology visualization
10.1109/TVCG.2006.123,Caricaturistic Visualization,Vis,J,2006,Peter Rautek;Ivan Viola;M. Eduard Gröller,"Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria;Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria;Institute of Computer Graphics and Algorithms, Vienna University of Technology, Austria",10.1109/VISUAL.2005.1532856;10.1109/VISUAL.2004.48;10.1109/VISUAL.2005.1532857;10.1109/VISUAL.2005.1532835,illustrative visualization;focus+context techniques;volume visualization
10.1109/TVCG.2006.157,Isosurface Extraction and Spatial filtering using Persistent Octree (POT),Vis,J,2006,Qingmin Shi;Joseph JáJá,"Institute for Advanced Computer Studies and the Department of Electrical and Computer Engineering at the University of Maryland, College Park;Institute for Advanced Computer Studies and the Department of Electrical and Computer Engineering at the University of Maryland, College Park",10.1109/VISUAL.1998.745713;10.1109/VISUAL.1991.175780;10.1109/VISUAL.1998.745299;10.1109/VISUAL.1996.568121;10.1109/VISUAL.1999.809910;10.1109/VISUAL.2002.1183810;10.1109/VISUAL.1998.745298;10.1109/VISUAL.1999.809879;10.1109/VISUAL.2004.52;10.1109/VISUAL.1998.745300;10.1109/VISUAL.2003.1250373,scientific visualization;isosurface extraction;indexing
10.1109/VAST.2008.4677369,Visual mining of multimedia data for social and behavioral studies,VAST,C,2008,Chen Yu;Yiwen Zhong;Thomas G. Smith 0002;Ikhyun Park;Weixia Huang,"Indiana University, USA;Indiana University, USA;Indiana University, USA;Indiana University, USA;Indiana University, USA",10.1109/INFVIS.2001.963273;10.1109/INFVIS.1999.801851,visual data mining;multimedia data
10.1109/TVCG.2009.125,Coloring 3D Line fields Using Boy's Real Projective Plane Immersion,Vis,J,2009,Çagatay Demiralp;John F. Hughes;David H. Laidlaw,Brown University;Brown University;Brown University,10.1109/VISUAL.1994.346338;10.1109/VISUAL.1993.398867,line field;colormapping;orientation;real projective plane;tensor field;dti
10.1109/TVCG.2010.196,Special Relativistic Visualization by Local Ray Tracing,Vis,J,2010,Thomas Müller 0005;Sebastian Grottel;Daniel Weiskopf,VISUS;VISUS;VISUS,10.1109/VISUAL.2000.885709,poincare transformation;aberration of light;doppler effect;illumination;searchlight effect;special relativity;gpu ray tracing
10.1109/VAST.2011.6102442,G-PARE: A visual analytic tool for comparative analysis of uncertain graphs,VAST,C,2011,Hossam Sharara;Awalin Sopan;Galileo Namata;Lise Getoor;Lisa Singh,"Computer Science Department, University of Maryland, College Park, USA;Computer Science Department, University of Maryland, College Park, USA;Computer Science Department, University of Maryland, College Park, USA;Computer Science Department, University of Maryland, College Park, USA;Computer Science Department, Georgetown University, Washington DC, USA",10.1109/TVCG.2006.122;10.1109/VAST.2010.5652398;10.1109/VAST.2010.5652910;10.1109/VAST.2006.261429;10.1109/VAST.2010.5652443;10.1109/TVCG.2007.70582,uncertain graphs;comparative analysis;model comparison;visualizing uncertainty
10.1109/VAST.2011.6102451,Interactive decision making using dissimilarity to visually represented prototypes,VAST,C,2011,Gosia Migut;Jan C. van Gemert;Marcel Worring,"Intelligent Systems Lab Amsterdam, University of Amsterdam, The Netherlands;Expertise Center Forensic Psychiatry, Utrecht, The Netherlands;Intelligent Systems Lab Amsterdam, University of Amsterdam, The Netherlands",10.1109/TVCG.2007.70515;10.1109/TVCG.2009.174;10.1109/TVCG.2009.199;10.1109/VAST.2010.5652398;10.1109/VISUAL.1994.346302;10.1109/INFVIS.1998.729559;10.1109/INFVIS.2000.885086,dissimilarity based classication;dissimilarity based visualization;prototypes;interactive visualization;visual analytics
10.1109/TVCG.2011.194,Evaluation of Trend Localization with Multi-Variate Visualizations,Vis,J,2011,Mark A. Livingston;Jonathan W. Decker,Naval Research Laboratory;Naval Research Laboratory,10.1109/TVCG.2009.126;10.1109/VISUAL.1998.745292;10.1109/VISUAL.1990.146387;10.1109/VISUAL.1990.146386;10.1109/TVCG.2007.70623;10.1109/VISUAL.1991.175795;10.1109/VISUAL.1999.809905;10.1109/VISUAL.2003.1250362;10.1109/VISUAL.1998.745294;10.1109/VISUAL.2003.1250362,user study;multi-variate visualization;visual task design;visual analytics
10.1109/TVCG.2012.223,Evaluation of Multivariate Visualization on a Multivariate Task,SciVis,J,2012,Mark A. Livingston;Jonathan W. Decker;Zhuming Ai,Naval Research Laboratory;Naval Research Laboratory;Naval Research Laboratory,10.1109/TVCG.2011.194;10.1109/TVCG.2009.126;10.1109/VISUAL.1998.745292;10.1109/VISUAL.1990.146387;10.1109/TVCG.2007.70623;10.1109/VISUAL.1990.146386;10.1109/VISUAL.1991.175795;10.1109/VISUAL.1998.745294;10.1109/VISUAL.2003.1250362,quantitative evaluation;multivariate visualization;visual task design;texture perception
10.1109/TVCG.2013.148,Detecting Symmetry in Scalar fields Using Augmented Extremum Graphs,SciVis,J,2013,Dilip Mathew Thomas;Vijay Natarajan,Indian Institute of Science;Indian Institute of Science,10.1109/VISUAL.2004.68;10.1109/TVCG.2009.120;10.1109/TVCG.2011.236;10.1109/TVCG.2008.143;10.1109/TVCG.2011.244;10.1109/TVCG.2007.70603;10.1109/TVCG.2012.200;10.1109/TVCG.2006.186,scalar field visualization;extremum graph;morse decomposition;symmetry detection;data exploration
10.1109/TVCG.2013.190,SketchPadN-D: WYDIWYG Sculpting and Editing in High-Dimensional Space,VAST,J,2013,Bing Wang 0007;Puripant Ruchikachorn;Klaus Mueller,"Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University;Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University, and Chulalongkorn Business School, Chulalongkorn University;Visual Analytics and Imaging Laboratory, Computer Science Department, Stony Brook University, and SUNY Korea",10.1109/TVCG.2011.237;10.1109/VAST.2012.6400489,synthetic data generation;data editing;data acquisition and management;multivariate data;high-dimensional data;interaction;user interface;parallel coordinates;scatterplot;n-d navigation;multiple views
10.1109/TVCG.2014.2346415,Vortex Cores of Inertial Particles,SciVis,J,2014,Tobias Günther;Holger Theisel,Visual Computing Group at the University of Magdeburg;Visual Computing Group at the University of Magdeburg,10.1109/VISUAL.2005.1532851;10.1109/TVCG.2007.70545;10.1109/TVCG.2010.198;10.1109/VISUAL.1999.809896;10.1109/VISUAL.1998.745296,inertial particles;flow visualization;vortex cores
10.1109/TVCG.2014.2346411,Visualization of Brain Microstructure Through Spherical Harmonics Illumination of High Fidelity Spatio-Angular Fields,SciVis,J,2014,Sujal Bista;Jiachen Zhuo;Rao P. Gullapalli;Amitabh Varshney,"University of Maryland, College Park;University of Maryland School of Medicine at Baltimore;University of Maryland School of Medicine at Baltimore;University of Maryland, College Park",10.1109/TVCG.2013.172;10.1109/TVCG.2007.70602;10.1109/TVCG.2010.199;10.1109/TVCG.2012.231;10.1109/VISUAL.1999.809886;10.1109/VISUAL.2004.62;10.1109/TVCG.2008.162;10.1109/VISUAL.2004.64;10.1109/VISUAL.2004.5;10.1109/TVCG.2011.198;10.1109/TVCG.2008.148,diffusion kurtosis imaging;diffusion tensor imaging;spatio-angular fields;spherical harmonics fields;tensor fields
10.1109/TVCG.2015.2467911,Vials: Visualizing Alternative Splicing of Genes,InfoVis,J,2015,Hendrik Strobelt;Bilal Alsallakh;Joseph Botros;Brant Peterson;Mark Borowsky;Hanspeter Pfister;Alexander Lex,Harvard University;Vienna University of Technology;Harvard University;Institute of BioMedical Research;Institute of BioMedical Research;Harvard University;Harvard University,10.1109/TVCG.2013.214;10.1109/TVCG.2013.223;10.1109/TVCG.2014.2346248,biology visualization;protein isoforms;mrna-seq;directed acyclic graphs;multivariate networks
10.1109/TVCG.2015.2467413,Planar Visualization of Treelike Structures,SciVis,J,2015,Joseph Marino;Arie E. Kaufman,"Computer Science Department, Stony Brook University;Computer Science Department, Stony Brook University",10.1109/TVCG.2011.235;10.1109/VISUAL.2001.964540;10.1109/TVCG.2011.192;10.1109/TVCG.2014.2346406;10.1109/VISUAL.2001.964538;10.1109/VISUAL.2004.75;10.1109/VISUAL.2002.1183754;10.1109/VISUAL.2003.1250353;10.1109/TVCG.2011.182;10.1109/TVCG.2006.172,geometry-based techniques;view-dependent visualization;medical visualization;planar embedding
10.1109/VAST.2015.7347624,Wavelet-based visualization of time-varying data on graphs,VAST,C,2015,Paola Valdivia;Fabio Dias;Fabiano Petronetto;Cláudio T. Silva;Luis Gustavo Nonato,"University of São Paulo, Brazil;University of São Paulo, Brazil;UFES, Brazil;New York University, USA;University of São Paulo, Brazil",10.1109/VAST.2008.4677356;10.1109/TVCG.2014.2346449;10.1109/TVCG.2013.226;10.1109/INFVIS.2000.885098;10.1109/TVCG.2013.228,time-varying data;graph wavelets;stacked graph visualization
10.1109/TVCG.2016.2598592,Visplause: Visual Data Quality Assessment of Many Time Series Using Plausibility Checks,InfoVis,J,2016,Clemens Arbesser;Florian Spechtenhauser;Thomas Mühlbacher;Harald Piringer,"VrVis Research Center, Vienna, Austria;VrVis Research Center, Vienna, Austria;VrVis Research Center, Vienna, Austria;VrVis Research Center, Vienna, Austria",10.1109/TVCG.2014.2346248;10.1109/TVCG.2012.213;10.1109/TVCG.2012.256;10.1109/TVCG.2014.2346260;10.1109/VAST.2011.6102458;10.1109/TVCG.2009.110;10.1109/TVCG.2015.2466971,data quality assessment;high-dimensional data;hierarchical aggregation;linked views
10.1109/TVCG.2016.2599017,Jacobi Fiber Surfaces for Bivariate Reeb Space Computation,SciVis,J,2016,Julien Tierny;Hamish A. Carr,"Sorbonne Universites, UPMC UnivParis06, CNRS, LIP6 UMR 7606, France;University of Leeds",10.1109/TVCG.2009.163;10.1109/TVCG.2007.70603;10.1109/TVCG.2006.186;10.1109/TVCG.2010.146;10.1109/TVCG.2006.165;10.1109/VISUAL.2004.96;10.1109/TVCG.2015.2467432;10.1109/TVCG.2008.116;10.1109/TVCG.2008.119;10.1109/TVCG.2014.2346332;10.1109/TVCG.2008.110,topological data analysis;multivariate data;data segmentation
10.1109/TVCG.2016.2598469,PhenoStacks: Cross-Sectional Cohort Phenotype Comparison Visualizations,VAST,J,2016,Michael Glueck;Alina Gvozdik;Fanny Chevalier;Azam Khan;Michael Brudno;Daniel J. Wigdor,"Autodesk ResearchUniversity of Toronto;University of Toronto;Inria;Autodesk Research;Hospital for Sick Children, University of Toronto, Toronto;University of Toronto",10.1109/TVCG.2014.2346248;10.1109/TVCG.2011.185;10.1109/TVCG.2014.2346279;10.1109/TVCG.2009.167;10.1109/TVCG.2013.124;10.1109/TVCG.2015.2467622;10.1109/TVCG.2015.2467733;10.1109/TVCG.2009.116,cross-sectional cohort analysis;phenotypes;human phenotype ontology (hpo)
10.1109/TVCG.2016.2598543,Annotation Graphs: A Graph-Based Visualization for Meta-Analysis of Data Based on User-Authored Annotations,VAST,J,2016,Jian Zhao 0010;Michael Glueck;Simon Breslav;Fanny Chevalier;Azam Khan,Autodesk Research;Autodesk Research;Autodesk Research;INRIA;Autodesk Research,10.1109/VAST.2009.5333878;10.1109/TVCG.2015.2467871;10.1109/VAST.2009.5333023;10.1109/VAST.2011.6102447;10.1109/TVCG.2008.137;10.1109/TVCG.2014.2346573;10.1109/VAST.2008.4677365;10.1109/TVCG.2013.124;10.1109/TVCG.2007.70577;10.1109/VAST.2010.5652879,externalization user-authored annotation;exploratory sequential data analysis;graph-based visualization
10.1109/TVCG.2017.2743858,What Would a Graph Look Like in this Layout? A Machine Learning Approach to Large Graph Visualization,InfoVis,J,2017,Oh-Hyun Kwon;Tarik Crnovrsanin;Kwan-Liu Ma,"University of California, Davis;University of California, Davis;University of California, Davis",10.1109/TVCG.2016.2598467;10.1109/TVCG.2007.70580;10.1109/TVCG.2015.2467451;10.1109/INFVIS.2002.1173159;10.1109/TVCG.2008.158;10.1109/TVCG.2008.155;10.1109/TVCG.2016.2598867,graph visualization;graph layout;aesthetics;machine learning;graph kernel;graphlet
10.1109/TVCG.2017.2744318,CyteGuide: Visual Guidance for Hierarchical Single-Cell Analysis,InfoVis,J,2017,Thomas Höllt;Nicola Pezzotti;Vincent van Unen;Frits Koning;Boudewijn P. F. Lelieveldt;Anna Vilanova,"Computer Graphics and Visualization Group, Delft University of Technology, The Netherlands;Computer Graphics and Visualization Group, Delft University of Technology, The Netherlands;Department of Immunohematology and Blood Transfusion, Leiden University Medical Center, The Netherlands;Department of Immunohematology and Blood Transfusion, Leiden University Medical Center, The Netherlands;Department of Radiology, Division of Image Processing, Leiden University Medical Center, The Netherlands;Computer Graphics and Visualization Group, Delft University of Technology, The Netherlands",10.1109/TVCG.2007.70540;10.1109/TVCG.2011.185;10.1109/VISUAL.1991.175815;10.1109/TVCG.2014.2346578;10.1109/TVCG.2008.138;10.1109/INFVIS.2001.963283;10.1109/INFVIS.2000.885091;10.1109/TVCG.2014.2346574;10.1109/TVCG.2016.2598470;10.1109/INFVIS.1999.801860;10.1109/TVCG.2006.200,hierarchical data;hsne;single-cell analysis;visual guidance
10.1109/TVCG.2017.2745105,CasCADe: A Novel 4D Visualization System for Virtual Construction Planning,InfoVis,J,2017,Paulo Ivson 0001;Daniel Nascimento;Waldemar Celes Filho;Simone D. J. Barbosa,Tecgraf InstitutePUC-Rio;Tecgraf InstitutePUC-Rio;Tecgraf InstitutePUC-Rio;Informatics DepartmentPUC-Rio,10.1109/VISUAL.1995.480803;10.1109/TVCG.2006.140;10.1109/TVCG.2007.70574;10.1109/TVCG.2007.70535;10.1109/VISUAL.1997.663876;10.1109/VISUAL.1996.568118;10.1109/TVCG.2007.70539;10.1109/TVCG.2013.126;10.1109/TVCG.2009.152;10.1109/TVCG.2012.213;10.1109/TVCG.2006.115;10.1109/TVCG.2012.265;10.1109/TVCG.2016.2599041;10.1109/TVCG.2007.70570;10.1109/TVCG.2007.70515,visualization in physical sciences and engineering;design studies;integrating spatial and non-spatial data visualization;task and requirements analysis
10.1109/TVCG.2017.2745138,Conceptual and Methodological Issues in Evaluating Multidimensional Visualizations for Decision Support,InfoVis,J,2017,Evanthia Dimara;Anastasia Bezerianos;Pierre Dragicevic,"Inria, France;Univ. Paris-Sud, CNRS, Inria, Universit&#x00E9; Paris-Saclay, France;Inria, France",10.1109/VAST.2011.6102457;10.1109/INFVIS.2005.1532136;10.1109/INFVIS.2004.10;10.1109/TVCG.2015.2467552;10.1109/TVCG.2016.2598594;10.1109/TVCG.2008.153;10.1109/INFVIS.2004.64;10.1109/VISUAL.1999.809866;10.1109/TVCG.2013.173;10.1109/TVCG.2014.2346979;10.1109/TVCG.2006.160;10.1109/TVCG.2013.160;10.1109/TVCG.2015.2466992;10.1109/TVCG.2015.2467671;10.1109/TVCG.2016.2598589;10.1109/TVCG.2014.2346279;10.1109/VAST.2009.5333920;10.1109/TVCG.2015.2468011;10.1109/TVCG.2014.2346320;10.1109/TVCG.2010.205;10.1109/VISUAL.1997.663867;10.1109/INFVIS.2003.1249015,decision making;multidimensional visualization;parallel coordinates;scatterplot matrix;tabular visualization;evaluation
10.1109/TVCG.2017.2745140,Stable Treemaps via Local Moves,InfoVis,J,2017,Max Sondag;Bettina Speckmann;Kevin Verbeek,TU Eindhoven;TU Eindhoven;TU Eindhoven,10.1109/INFVIS.2001.963283;10.1109/TVCG.2007.70529;10.1109/INFVIS.2005.1532145,treemap;stability;local moves
10.1109/TVCG.2017.2744319,Bridging from Goals to Tasks with Design Study Analysis Reports,InfoVis,J,2017,Heidi Lam;Melanie Tory;Tamara Munzner,Tableau Research;Tableau Research;University of British Columbia,10.1109/TVCG.2014.2346312;10.1109/INFVIS.2005.1532136;10.1109/TVCG.2013.124;10.1109/TVCG.2011.176;10.1109/TVCG.2013.214;10.1109/VAST.2008.4677365;10.1109/TVCG.2010.164;10.1109/TVCG.2014.2346456;10.1109/TVCG.2013.126;10.1109/TVCG.2010.193;10.1109/TVCG.2012.286;10.1109/TVCG.2013.154;10.1109/TVCG.2009.180;10.1109/TVCG.2014.2346573;10.1109/TVCG.2015.2467811;10.1109/TVCG.2010.137;10.1109/TVCG.2009.111;10.1109/TVCG.2009.116;10.1109/TVCG.2014.2346311;10.1109/TVCG.2013.192;10.1109/TVCG.2012.263;10.1109/TVCG.2014.2346445;10.1109/TVCG.2011.253;10.1109/TVCG.2015.2467754;10.1109/TVCG.2013.130;10.1109/TVCG.2013.120;10.1109/TVCG.2014.2346321;10.1109/TVCG.2015.2467911;10.1109/VISUAL.1990.146375;10.1109/TVCG.2011.174;10.1109/TVCG.2012.226,framework;data analysis;analysis goals;design studies;open coding;task classifications
10.1109/TVCG.2017.2744321,Clique Community Persistence: A Topological Visual Analysis Approach for Complex Networks,SciVis,J,2017,Bastian Rieck;Ulderico Fugacci;Jonas Lukasczyk;Heike Leitte,TU Kaiserslautern;TU Kaiserslautern;TU Kaiserslautern;TU Kaiserslautern,10.1109/INFVIS.2004.66;10.1109/TVCG.2008.151,persistent homology;topological persistence;cliques;complex networks;visual analysis
10.1109/TVCG.2017.2745279,Supporting Handoff in Asynchronous Collaborative Sensemaking Using Knowledge-Transfer Graphs,VAST,J,2017,Jian Zhao 0010;Michael Glueck;Petra Isenberg;Fanny Chevalier;Azam Khan,FX Palo Alto Laboratory;Autodesk Research;Inria;Inria;Autodesk Research,10.1109/VAST.2007.4389009;10.1109/VAST.2011.6102447;10.1109/VAST.2010.5652932;10.1109/VAST.2006.261420;10.1109/VAST.2007.4389011;10.1109/TVCG.2008.137;10.1109/TVCG.2007.70568;10.1109/VAST.2009.5333020;10.1109/VAST.2009.5333878;10.1109/VAST.2011.6102438;10.1109/VAST.2006.261415;10.1109/TVCG.2014.2346573;10.1109/TVCG.2015.2467551;10.1109/VAST.2008.4677358;10.1109/TVCG.2016.2598466;10.1109/VAST.2007.4389006;10.1109/TVCG.2007.70577;10.1109/TVCG.2007.70589;10.1109/TVCG.2016.2598543,collaboration;sensemaking;handoff;handover;structured externalizations;interactive visual analysis
10.1109/TVCG.2018.2864477,Clustrophile 2: Guided Visual Clustering Analysis,VAST,J,2018,Marco Cavallo;Çagatay Demiralp,IBM Research;MIT CSAIL & Fitnescity Labs,10.1109/TVCG.2011.188;10.1109/TVCG.2013.119;10.1109/TVCG.2012.219;10.1109/TVCG.2017.2745085;10.1109/TVCG.2010.138;10.1109/VAST.2007.4388999;10.1109/TVCG.2012.207;10.1109/TVCG.2017.2744805;10.1109/VAST.2008.4677350;10.1109/INFVIS.2004.3;10.1109/TVCG.2015.2467191,clustering tour;guided data analysis;unsupervised learning;exploratory data analysis;interactive clustering analysis;interpretability;explainability;visual data exploration recommendation;dimensionality reduction;what-if analysis;clustrophile
10.1109/TVCG.2018.2865041,ForVizor: Visualizing Spatio-Temporal Team Formations in Soccer,VAST,J,2018,Yingcai Wu;Xiao Xie;Jiachen Wang;Dazhen Deng;Hongye Liang;Hui Zhang;Shoubin Cheng;Wei Chen 0001,State Key Lab of CAD&CGZhejiang University;State Key Lab of CAD&CGZhejiang University;State Key Lab of CAD&CGZhejiang University;State Key Lab of CAD&CGZhejiang University;State Key Lab of CAD&CGZhejiang University;Department of Sport ScienceZhejiang University;Department of Sport ScienceZhejiang University;State Key Lab of CAD&CGZhejiang University,10.1109/VAST.2008.4677356;10.1109/TVCG.2011.239;10.1109/TVCG.2014.2346433;10.1109/VAST.2014.7042477;10.1109/TVCG.2018.2865018;10.1109/TVCG.2016.2598831;10.1109/TVCG.2013.192;10.1109/TVCG.2014.2346445;10.1109/TVCG.2017.2745181;10.1109/TVCG.2017.2744218,soccer data;formation analysis;spatio-temporal visualization
10.1109/TVCG.2018.2864504,DQNViz: A Visual Analytics Approach to Understand Deep Q-Networks,VAST,J,2018,Junpeng Wang;Liang Gou;Han-Wei Shen;Hao Yang,The Ohio State University;Visa Research;The Ohio State University;Visa Research,10.1109/TVCG.2017.2744683;10.1109/TVCG.2014.2346682;10.1109/TVCG.2017.2745320;10.1109/TVCG.2017.2744718;10.1109/TVCG.2011.179;10.1109/TVCG.2017.2744938;10.1109/TVCG.2016.2598831;10.1109/VAST.2017.8585721;10.1109/TVCG.2013.200;10.1109/TVCG.2017.2744358;10.1109/TVCG.2017.2744158,deep q-network (dqn);reinforcement learning;model interpretation;visual analytics
10.1109/VISUAL.2000.885676,Creating reusable visualizations with the relational visualization notation,Vis,C,2000,Matthew C. Humphrey,"11 Wild Plum Court, Stafford, CA, USA",,information visualization;graphic design;visual design
10.1109/VISUAL.2000.885693,Basic research for coloring multichannel MRI data,Vis,C,2000,Shigeru Muraki;Toshiharu Nakai;Yasuyo Kita,"MITI, Electrotech. Lab., Ibaraki, Japan",10.1109/VISUAL.1996.568113,color mri;independent component analysis;transfer function
